,Interval,CumulativePlayerPointsInterval,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints,Player,res,GameId
89426,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,36.73209009641729,118.29478409409316,120.48337847498684,A. Davis - davisan02,3.637938324174564,1115
346,1,4.0,0,2.0,2.0,32,36,-4,144.0,5184.0,36.73209009641729,118.29478409409316,120.48337847498684,A. Davis - davisan02,2.7685776125531834,1115
22616,2,17.0,0,2.0,2.0,66,63,3,72.0,1728.0,36.73209009641729,118.29478409409316,120.48337847498684,A. Davis - davisan02,5.683893211871507,1115
44886,3,31.0,0,2.0,2.0,94,88,6,72.0,864.0,36.73209009641729,118.29478409409316,120.48337847498684,A. Davis - davisan02,9.138664365857231,1115
67156,4,46.0,0,2.0,2.0,121,117,4,0.0,0.0,36.73209009641729,118.29478409409316,120.48337847498684,A. Davis - davisan02,12.779856227131937,1115
89427,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,29.737488382172472,112.70266456443866,115.8341079413625,A. Davis - davisan02,3.6259998784139076,1196
347,1,11.0,0,2.0,2.0,34,34,0,0.0,0.0,29.737488382172472,112.70266456443866,115.8341079413625,A. Davis - davisan02,5.651546242058642,1196
22617,2,17.0,0,2.0,2.0,65,69,-4,96.0,2304.0,29.737488382172472,112.70266456443866,115.8341079413625,A. Davis - davisan02,5.713147165799262,1196
44887,3,26.0,0,2.0,2.0,88,94,-6,72.0,864.0,29.737488382172472,112.70266456443866,115.8341079413625,A. Davis - davisan02,7.0392221921724385,1196
67157,4,30.0,0,2.0,2.0,104,112,-8,0.0,0.0,29.737488382172472,112.70266456443866,115.8341079413625,A. Davis - davisan02,6.092353811565504,1196
89428,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,18.55920490419985,118.86468874379764,120.07813814896753,A. Davis - davisan02,4.292257203303794,1197
348,1,8.0,0,2.0,2.0,28,33,-5,180.0,6480.0,18.55920490419985,118.86468874379764,120.07813814896753,A. Davis - davisan02,5.2068013323701585,1197
22618,2,15.0,0,2.0,2.0,57,63,-6,144.0,3456.0,18.55920490419985,118.86468874379764,120.07813814896753,A. Davis - davisan02,5.688714206263336,1197
44888,3,22.0,0,2.0,2.0,92,95,-3,36.0,432.0,18.55920490419985,118.86468874379764,120.07813814896753,A. Davis - davisan02,5.855778714570917,1197
67158,4,22.0,0,2.0,2.0,119,125,-6,0.0,0.0,18.55920490419985,118.86468874379764,120.07813814896753,A. Davis - davisan02,3.1523057978036784,1197
89429,0,0.0,0,1.0,1.0,0,0,0,0.0,0.0,25.996462241267608,101.93793577901384,113.42581083517558,A. Davis - davisan02,3.2522426052689566,1277
